dataset,item,eta2_y,anova_p,n_cells,n_tissues,sig,anova_p_bonf,sig_bonf
ctrpv2,BRD-A02303741-navitoclax (2-1 mol-mol),0.162797941069985,4.758010713934278e-09,455,22,True,2.093524714131082e-06,True
ctrpv2,BRD-A71883111,0.19784123586998614,3.361828857608467e-07,224,22,True,0.00014792046973477254,True
ctrpv2,BRD-A94377914,0.40859495291858594,7.42362341708452e-20,366,23,True,3.266394303517189e-17,True
ctrpv2,BRD-K02251932,0.10623451973280891,0.0004732485532719914,429,22,True,0.2082293634396762,False
ctrpv2,BRD-K11533227,0.14963388060842994,2.5191269726000404e-07,326,23,True,0.00011084158679440178,True
ctrpv2,BRD-K13999467,0.20279833333167438,4.637746530911768e-13,636,22,True,2.0406084736011778e-10,True
ctrpv2,BRD-K14844214,0.1317687896616116,0.06805917908769062,292,22,False,1.0,False
ctrpv2,BRD-K19103580,0.1258750837453954,0.00044448271245743035,447,22,True,0.19557239348126934,False
ctrpv2,BRD-K24690302,0.2563493729624624,1.541048863930306e-10,438,23,True,6.780615001293347e-08,True
ctrpv2,BRD-K26531177,0.11330038847941655,9.802486500859026e-09,725,23,True,4.313094060377971e-06,True
ctrpv2,BRD-K27188169-navitoclax (2-1 mol-mol),0.300772382777802,0.003572288387385375,118,20,True,1.0,False
ctrpv2,BRD-K28456706,0.21754550982644713,0.005183089213826566,189,20,True,1.0,False
ctrpv2,BRD-K34222889,0.3248715227777545,4.7608433790934947e-26,728,22,True,2.0947710868011378e-23,True
ctrpv2,BRD-K41597374,0.18570239970235025,2.5576337829732723e-12,599,22,True,1.1253588645082398e-09,True
ctrpv2,BRD-K42260513,0.16856711660483398,0.27144633459065115,177,22,False,1.0,False
ctrpv2,BRD-K45681478,0.1340162013784213,8.200390919773943e-10,649,23,True,3.6081720047005345e-07,True
ctrpv2,BRD-K50799972,0.16068285059443638,1.943954667155451e-05,416,22,True,0.008553400535483984,True
ctrpv2,BRD-K51490254,0.13289003394236987,3.65534549825772e-05,353,22,True,0.01608352019233397,True
ctrpv2,BRD-K52037352,0.15800928886412807,0.00013949051254886507,291,22,True,0.06137582552150063,False
ctrpv2,BRD-K55116708,0.29436394297758967,2.4200665808979956e-13,431,22,True,1.0648292955951181e-10,True
ctrpv2,BRD-K55473186,0.18805334777270977,0.14981889944244128,140,21,False,1.0,False
ctrpv2,BRD-K58306044-001-01-3,0.1569727049963475,0.1705180702592641,161,21,False,1.0,False
ctrpv2,BRD-K61166597,0.285182483093937,8.862133029668829e-08,311,21,True,3.899338533054285e-05,True
ctrpv2,BRD-K66453893,0.20977116189727596,2.403236299263631e-12,486,23,True,1.0574239716759977e-09,True
ctrpv2,BRD-K66532283,0.3241889250385702,4.549983502735838e-15,389,21,True,2.0019927412037686e-12,True
ctrpv2,BRD-K71781559,0.24005952422829316,0.48626132959283497,126,22,False,1.0,False
ctrpv2,BRD-K71935468,0.05320938562587293,0.05869162729782528,319,21,False,1.0,False
ctrpv2,BRD-K80183349,0.3727580806582571,1.4985641251089755e-18,374,23,True,6.593682150479493e-16,True
ctrpv2,BRD-K85133207,0.3134152379186954,7.511892140019406e-08,304,22,True,3.305232541608539e-05,True
ctrpv2,BRD-K92856060,0.1895037583899496,6.954547070086449e-07,461,22,True,0.00030600007108380373,True
ctrpv2,BRD-K94991378,0.09880852853673501,1.0539311881109727e-07,279,21,True,4.63729722768828e-05,True
ctrpv2,BRD-K97651142,0.08482619012099095,4.076798694315707e-06,723,23,True,0.0017937914254989112,True
ctrpv2,BRD-M00053801,0.04461071835577771,0.7928174681190607,379,23,False,1.0,False
ctrpv2,BRD1240,0.18204956102337674,1.764542300790198e-16,728,23,True,7.763986123476871e-14,True
ctrpv2,BRD1835,0.10342251729597303,0.01419955423155882,410,22,True,1.0,False
ctrpv2,BRD3308,0.29556996331594054,1.422161393821793e-16,405,22,True,6.257510132815889e-14,True
ctrpv2,BRD4132,0.05070697373302449,0.44033649714449363,315,22,False,1.0,False
ctrpv2,BRD6340,0.3093907769059458,1.755483592539934e-17,543,23,True,7.72412780717571e-15,True
ctrpv2,BRD9647,0.23808043456613195,6.489651189076444e-08,459,23,True,2.8554465231936354e-05,True
ctrpv2,BRD9876,0.1718693253829878,0.16501126758378987,146,22,False,1.0,False
ctrpv2,Bax channel blocker,0.14999204124159102,1.9480259577870956e-14,684,23,True,8.571314214263221e-12,True
ctrpv2,Belinostat,0.5085858684572391,2.9141350342742933e-27,380,23,True,1.282219415080689e-24,True
ctrpv2,Bexarotene,0.32273081921633706,0.40081920335815124,106,21,False,1.0,False
ctrpv2,Bml-281,0.30821138285974703,1.4933463671572751e-27,735,23,True,6.57072401549201e-25,True
ctrpv2,Bortezomib,0.25499067350180205,1.5811911207721315e-20,722,23,True,6.957240931397379e-18,True
ctrpv2,Bosutinib,0.25365325604873207,5.196661150311424e-18,701,23,True,2.2865309061370266e-15,True
ctrpv2,CAY10594,0.12266015834366983,0.00040073305059345305,410,22,True,0.17632254226111935,False
ctrpv2,CAY10618,0.10905463570730814,8.882856529973877e-08,705,23,True,3.908456873188506e-05,True
ctrpv2,CCT036477,0.305417496708366,4.4732685252080575e-24,599,22,True,1.968238151091545e-21,True
ctrpv2,CD-1530,0.23114019954051968,5.598494140116918e-05,300,22,True,0.02463337421651444,True
ctrpv2,CD-437,0.20439198352060076,4.729529675191019e-10,611,23,True,2.0809930570840485e-07,True
ctrpv2,CHEMBL4788167,0.26135955066887434,4.08874832195373e-30,738,23,True,1.799049261659641e-27,True
ctrpv2,CHIR-99021,0.29869671814088017,1.5491273736365443e-13,479,22,True,6.816160444000794e-11,True
ctrpv2,CHM-1,0.19651237606728877,4.260495838155075e-11,493,23,True,1.874618168788233e-08,True
ctrpv2,CI-976,0.09440224911309585,0.27774333082011465,226,22,False,1.0,False
ctrpv2,CIL41,0.1732321377838137,0.021964470416003225,202,20,True,1.0,False
ctrpv2,CIL55,0.14500649435962976,0.000825414014899514,225,21,True,0.36318216655578617,False
ctrpv2,CIL55A,0.13761221671896656,1.20587545646013e-05,394,23,True,0.005305852008424572,True
ctrpv2,CIL56,0.2513396429278692,6.81192267101924e-09,342,22,True,2.9972459752484656e-06,True
ctrpv2,CIL70,0.2258583703231437,1.9686166462275589e-07,324,23,True,8.661913243401259e-05,True
ctrpv2,COL-3,0.21283235037761883,4.602604811262518e-08,349,22,True,2.025146116955508e-05,True
ctrpv2,CR-1-31B,0.22328618191868624,1.044092861295674e-19,688,23,True,4.594008589700965e-17,True
ctrpv2,Cabozantinib,0.1469801127526706,1.982255432208898e-05,537,22,True,0.008721923901719152,True
ctrpv2,Canertinib,0.11228591413981265,4.916317874085022e-07,390,22,True,0.00021631798645974096,True
ctrpv2,Cediranib,0.09216955368068046,0.0017030816035106813,365,22,True,0.7493559055446998,False
ctrpv2,Ch-55,0.09535043242584945,0.0301220385438605,380,22,True,1.0,False
ctrpv2,Compound 23 citrate,0.30784699193024634,7.607894257765094e-25,728,23,True,3.3474734734166414e-22,True
ctrpv2,Compound 7d-cis,0.26448401148751155,3.632975904688971e-22,607,23,True,1.5985093980631472e-19,True
ctrpv2,Crizotinib,0.3514307028504084,1.9974977417616466e-26,753,23,True,8.788990063751245e-24,True
ctrpv2,DBeQ,0.11788664083087776,1.0508915821118511e-09,744,23,True,4.6239229612921447e-07,True
ctrpv2,Dabrafenib,0.3744069772679431,0.0008236293686997185,178,21,True,0.3623969222278762,False
ctrpv2,Dacarbazine,0.3848343052947273,5.106090747055167e-09,255,22,True,2.2466799287042736e-06,True
ctrpv2,Dactolisib,0.15285029016726123,0.0009633122635301342,385,22,True,0.42385739595325905,False
