dataset,item,condition,xai,contam50,eta2,n_cell_lines
ctrpv2,GSK4112,marginal,shap,0.5,0.2461506383295652,123
ctrpv2,GSK4112,marginal,grad_x_input,0.88,0.2443824198261025,123
ctrpv2,GSK4112,marginal,lrp_eps,0.92,0.2552030538258322,123
ctrpv2,GSK4112,marginal,lrp_ab,0.68,0.2995172859927302,123
ctrpv2,GSK4112,marginal,int_grad,0.88,0.2451528857434178,123
ctrpv2,GSK4112,marginal,lime,0.2,0.1981070888519879,123
ctrpv2,GSK4112,residualized,shap,0.18,0.1656496381032523,123
ctrpv2,GSK4112,residualized,grad_x_input,0.16,0.1666075780159542,123
ctrpv2,GSK4112,residualized,lrp_eps,0.14,0.162769665130436,123
ctrpv2,GSK4112,residualized,lrp_ab,0.18,0.151576054233048,123
ctrpv2,GSK4112,residualized,int_grad,0.18,0.1686236484747002,123
ctrpv2,GSK4112,residualized,lime,0.14,0.1752731600287189,123
ctrpv2,XL765,marginal,shap,0.32,0.1905900431573709,156
ctrpv2,XL765,marginal,grad_x_input,0.64,0.1857883866037629,156
ctrpv2,XL765,marginal,lrp_eps,0.68,0.1906612257407003,156
ctrpv2,XL765,marginal,lrp_ab,0.3,0.2722832460530002,156
ctrpv2,XL765,marginal,int_grad,0.62,0.1858191859184864,156
ctrpv2,XL765,marginal,lime,0.3,0.1366908177957978,156
ctrpv2,XL765,residualized,shap,0.12,0.1382035015359582,156
ctrpv2,XL765,residualized,grad_x_input,0.08,0.1382230959500249,156
ctrpv2,XL765,residualized,lrp_eps,0.14,0.1470515660127641,156
ctrpv2,XL765,residualized,lrp_ab,0.38,0.071085978031271,156
ctrpv2,XL765,residualized,int_grad,0.12,0.138738686406567,156
ctrpv2,XL765,residualized,lime,0.3,0.13003612324642,156
ctrpv2,Ki8751,marginal,shap,0.54,0.211707402036933,194
ctrpv2,Ki8751,marginal,grad_x_input,0.58,0.2002305845441197,194
ctrpv2,Ki8751,marginal,lrp_eps,0.6,0.2207111647000768,194
ctrpv2,Ki8751,marginal,lrp_ab,0.26,0.5955145323024195,194
ctrpv2,Ki8751,marginal,int_grad,0.58,0.2009076895047521,194
ctrpv2,Ki8751,marginal,lime,0.18,0.1390179773595704,194
ctrpv2,Ki8751,residualized,shap,0.2,0.1106202588324961,194
ctrpv2,Ki8751,residualized,grad_x_input,0.2,0.1083204436211692,194
ctrpv2,Ki8751,residualized,lrp_eps,0.22,0.1045560824800179,194
ctrpv2,Ki8751,residualized,lrp_ab,0.26,0.0804653269723444,194
ctrpv2,Ki8751,residualized,int_grad,0.22,0.1078485162424231,194
