target,r_wt_baseline,r_wt_between_tissue,r_wt_irm,r_wt_marginal,r_wt_residualized,r_wt_within_tissue,sig_marginal,sig_residualized,sig_irm,sig_within_tissue,in_a61,in_marginal,in_all4
RPS15A,-0.2618237552504924,-0.261399311041776,0.0148507450660139,0.0550403988193708,0.0113720239866024,0.0550403988193708,True,False,False,True,False,True,False
RPS2,-0.39128192628971,-0.3903156841017101,-0.0544726868114353,-0.0304803865701225,-0.0737060985473613,-0.0304803865701225,False,False,False,False,False,False,False
RPS4X,-0.2792087901770199,-0.2789511182378199,0.0526720524452748,0.0793535980895585,0.0177350765251933,0.0793535980895585,True,False,False,True,False,True,False
RRM1,-0.2756025715883599,-0.2755483484238211,0.0048566694024096,-0.0145810632524172,-0.0077081574973691,-0.0145810632524172,False,False,False,False,False,False,False
RRM2,-0.2713149898367117,-0.2709765406183611,0.0220633476017099,0.0530175117670366,0.0541446285460464,0.0530175117670366,False,False,False,False,False,False,False
RRN3,-0.412991453436239,-0.4123895471291689,0.0910344675944752,0.1192073720859989,-0.1972589852107009,0.1192073720859989,True,False,False,True,False,True,False
SARS1,-0.2607788723289786,-0.2597639122855338,0.0455086025482414,0.0917249460054376,-0.0116083442075616,0.0917249460054376,True,False,False,True,False,True,False
SBDS,-0.2957525984913601,-0.2955536936892705,0.1681533070531666,0.221929750204985,0.22299595953154,0.221929750204985,True,True,True,True,True,True,True
SCAP,-0.2667003840664858,-0.2661333770144581,0.1707559357020775,0.3096806390091242,0.2596341038827101,0.3096806390091242,True,True,True,True,True,True,True
SCD,-0.2551044460073742,-0.2545123791162733,0.1853554652849732,0.3028773402318039,0.2771425043894197,0.3028773402318039,True,True,True,True,True,True,True
SDHB,-0.2824993117853566,-0.2822414564037244,0.237716616477202,0.3685334296793204,0.3463624995996764,0.3685334296793204,True,True,True,True,True,True,True
SEPHS2,-0.2899012510058305,-0.2899808257956509,0.1008718622470418,0.2065034841289533,0.1440128584220617,0.2065034841289533,True,True,True,True,True,True,True
SEPSECS,-0.2637145822680412,-0.2637044197993766,0.1169840260012113,0.221150957119927,0.1905873833939462,0.221150957119927,True,True,True,True,True,True,True
SKP2,-0.2870214686807666,-0.2868724617166213,0.3291185599702627,0.4609448727952793,0.4177335631648085,0.4609448727952793,True,True,True,True,True,True,True
SMG1,-0.4877896240025087,-0.4878399949137256,0.0165898531769915,0.0069439132074933,-0.0600343690346046,0.0069439132074933,False,False,False,False,False,False,False
SNAP23,-0.2706459469077256,-0.2705142639615325,0.2798269631993954,0.3894744947756716,0.3189844116110958,0.3894744947756716,True,True,True,True,True,True,True
SNRPA1,-0.2551840826350166,-0.2546890419460053,0.02833002708582,0.068326799999583,0.1234927200583227,0.068326799999583,True,True,False,True,True,True,False
SNRPB2,-0.2627319135799751,-0.2625532366483273,0.2087968190295897,0.3404685332679763,0.2865425635124305,0.3404685332679763,True,True,True,True,True,True,True
SNRPD1,-0.2659458017838048,-0.2656531483884408,0.0971637560496106,0.0919333538424005,0.0371598201413964,0.0919333538424005,True,False,True,True,False,True,False
SNRPD3,-0.4608110198259325,-0.4601670745044125,0.1161628992283906,0.1070560112803288,-0.2908240641205804,0.1070560112803288,False,False,True,False,False,False,False
SNRPF,-0.2866020368199275,-0.2860990435432768,0.0285416620628887,0.0501720649776871,-0.0051178323998585,0.0501720649776871,False,False,False,False,False,False,False
SOD1,-0.2604757940361535,-0.2601253774136448,0.0358409486034316,0.1258912926064509,0.0755794871498035,0.1258912926064509,True,True,False,True,True,True,False
SOD2,-0.2767570579841559,-0.2759971587521513,0.1532967108825967,0.2920215953847667,0.2397590934360879,0.2920215953847667,True,True,True,True,True,True,True
SPC24,-0.2803762435678649,-0.2799053746617705,0.1054190286091605,0.1119554300731615,0.0269084614921306,0.1119554300731615,True,False,True,True,False,True,False
SRSF3,-0.2631117167760869,-0.2630877360881107,-0.0099727303140108,0.0181084760426882,0.0052643119667223,0.0181084760426882,False,False,False,False,False,False,False
SS18L2,-0.2721631044914899,-0.2717690978971132,0.0945188017010741,0.1581589929243169,0.0771944288115389,0.1581589929243169,True,True,True,True,True,True,True
