dataset,seed,item,method,n_cells,n_tissues,n_eff_foldsym,wt_tissue,wt_tissue_recon,wt_foldsym,wt_foldsym_stripped
ctrpv2,2,BRD-K13999467,irm,652,22,637,0.04877231994040577,0.04877231994040577,0.07386382646729964,0.07386382646729964
ctrpv2,2,BRD-K13999467,dann,652,22,637,0.07276537903354893,0.07276537903354893,0.118197296900501,0.118197296900501
ctrpv2,2,BRD-K13999467,adae,652,22,637,0.16910369264466155,0.16910369264466155,0.20346410134538,0.20346410134538
ctrpv2,2,BRD-K14844214,baseline,295,22,270,-0.3933500731396649,-0.3933500731396649,,
ctrpv2,2,BRD-K14844214,marginal,295,22,270,-0.04206151725075937,-0.04206151725075937,-0.029649078774824093,-0.029649078774824093
ctrpv2,2,BRD-K14844214,residualized,295,22,270,-0.06421252149883398,-0.33179172278891467,-0.04362832903138773,-0.04362832903138773
ctrpv2,2,BRD-K14844214,irm,295,22,270,0.018748146755170187,0.018748146755170187,-0.008228398090763481,-0.008228398090763481
ctrpv2,2,BRD-K14844214,dann,295,22,270,-0.046950381662738454,-0.046950381662738454,-0.0653096581576856,-0.0653096581576856
ctrpv2,2,BRD-K14844214,adae,295,22,270,-0.08068402610980929,-0.08068402610980929,0.010708233096802435,0.010708233096802435
ctrpv2,2,BRD-K19103580,baseline,457,22,434,-0.3398776657690477,-0.3398776657690477,,
ctrpv2,2,BRD-K19103580,marginal,457,22,434,0.030824413897863074,0.030824413897863074,0.04136720785476066,0.04136720785476066
ctrpv2,2,BRD-K19103580,residualized,457,22,434,-0.009383421727513,-0.14690111328045233,0.0033319904482472535,0.0033319904482472505
ctrpv2,2,BRD-K19103580,irm,457,22,434,0.028158781733617484,0.028158781733617484,0.021793010373030143,0.021793010373030143
ctrpv2,2,BRD-K19103580,dann,457,22,434,0.028601299320181343,0.028601299320181343,0.03755840343695021,0.03755840343695021
ctrpv2,2,BRD-K19103580,adae,457,22,434,0.01855404788076374,0.01855404788076374,0.048292588714517456,0.048292588714517456
ctrpv2,2,BRD-K24690302,baseline,453,23,433,-0.41475268182106206,-0.41475268182106206,,
ctrpv2,2,BRD-K24690302,marginal,453,23,433,0.11559364269403909,0.11559364269403909,0.11662339708030066,0.11662339708030066
ctrpv2,2,BRD-K24690302,residualized,453,23,433,0.23262678496794717,0.0855347298392219,0.22751672239032766,0.22751672239032777
ctrpv2,2,BRD-K24690302,irm,453,23,433,0.07144683482028429,0.07144683482028429,0.060112702915977895,0.060112702915977895
ctrpv2,2,BRD-K24690302,dann,453,23,433,0.1454549926546697,0.1454549926546697,0.1571996361177514,0.1571996361177514
ctrpv2,2,BRD-K24690302,adae,453,23,433,0.15275089569389344,0.15275089569389344,0.19386592491622986,0.19386592491622986
ctrpv2,2,BRD-K26531177,baseline,743,23,737,-0.31701230358254123,-0.31701230358254123,,
ctrpv2,2,BRD-K26531177,marginal,743,23,737,0.23342003753916274,0.23342003753916274,0.2628085753356605,0.2628085753356605
ctrpv2,2,BRD-K26531177,residualized,743,23,737,0.22467974451118775,0.10959236515124703,0.2545821124150317,0.2545821124150318
ctrpv2,2,BRD-K26531177,irm,743,23,737,0.164885669867768,0.164885669867768,0.17602858188710235,0.17602858188710235
ctrpv2,2,BRD-K26531177,dann,743,23,737,0.1843050518937686,0.1843050518937686,0.2356347797473065,0.2356347797473065
ctrpv2,2,BRD-K26531177,adae,743,23,737,0.19953123147511784,0.19953123147511784,0.24237729233806518,0.24237729233806518
ctrpv2,2,BRD-K27188169-navitoclax_(2-1_mol-mol),baseline,118,20,87,-0.4595891383999718,-0.4595891383999718,,
ctrpv2,2,BRD-K27188169-navitoclax_(2-1_mol-mol),marginal,118,20,87,-0.05326641791133364,-0.05326641791133364,0.07441725599983826,0.07441725599983826
ctrpv2,2,BRD-K27188169-navitoclax_(2-1_mol-mol),residualized,118,20,87,-0.07890650539859594,-0.35451936752571256,-0.00796037557101456,-0.007960375571014566
ctrpv2,2,BRD-K27188169-navitoclax_(2-1_mol-mol),irm,118,20,87,-0.056377047609473305,-0.056377047609473305,0.1643194100076645,0.1643194100076645
ctrpv2,2,BRD-K27188169-navitoclax_(2-1_mol-mol),dann,118,20,87,-0.044759012962006066,-0.044759012962006066,0.09998736193535161,0.09998736193535161
ctrpv2,2,BRD-K27188169-navitoclax_(2-1_mol-mol),adae,118,20,87,-0.05344023368393206,-0.05344023368393206,0.014359037754321076,0.014359037754321076
